file,effect,snr_db,thd_pct,pesq_approx,centroid_dry_hz,centroid_wet_hz,centroid_shift_hz,crest_dry,crest_wet,dynrange_dry_db,dynrange_wet_db
dry_chirp_lin,SchroederReverb,2.26,277.618,4.5722,4076.7,4281.4,204.8,1.414,2.315,0.01,3.57
dry_chirp_lin,DigitalDelay,4.84,258.749,2.6984,4076.7,4076.0,-0.6,1.414,2.433,0.01,1.85
dry_chirp_lin,Distortion,9.78,266.647,4.2572,4076.7,6674.3,2597.6,1.414,1.093,0.01,0.03
dry_chirp_lin,Compressor,5.78,240.266,0.8898,4076.7,4035.0,-41.6,1.414,3.582,0.01,2.88
dry_chirp_lin,ParametricEQ,19.15,252.219,0.1738,4076.7,3991.1,-85.5,1.414,1.634,0.01,1.11
dry_chirp_lin,BitCrusher,0.09,314.079,4.9129,4076.7,6941.4,2864.7,1.414,1.412,0.01,0.36
dry_chirp_lin,Tremolo,6.2,622.161,0.6535,4076.7,4180.4,103.8,1.414,2.132,0.01,8.64
dry_chirp_lin,Limiter,19.61,255.815,0.1102,4076.7,4097.6,20.9,1.414,1.429,0.01,0.19
dry_drum_hit,SchroederReverb,3.41,321.183,3.18,10506.6,10137.6,-368.9,13.014,8.596,48.75,29.35
dry_drum_hit,DigitalDelay,4.69,380.81,3.6645,10506.6,10531.8,25.3,13.014,10.432,48.75,18.95
dry_drum_hit,Distortion,2.23,193.544,0.8777,10506.6,10532.6,26.0,13.014,4.394,48.75,44.97
dry_drum_hit,Compressor,7.75,277.069,0.5371,10506.6,10519.2,12.7,13.014,10.573,48.75,45.61
dry_drum_hit,ParametricEQ,12.19,292.722,0.1753,10506.6,9794.9,-711.7,13.014,12.472,48.75,47.71
dry_drum_hit,BitCrusher,0.99,115.583,6.8488,10506.6,6322.4,-4184.1,13.014,12.694,48.75,35.11
dry_drum_hit,Tremolo,4.66,307.733,0.6528,10506.6,10495.2,-11.4,13.014,16.572,48.75,45.5
dry_drum_hit,Limiter,15.12,293.863,0.0328,10506.6,10507.4,0.8,13.014,12.311,48.75,47.11
dry_pink_noise,SchroederReverb,1.88,89.34,0.821,4919.7,4599.7,-320.0,3.821,4.104,1.34,4.87
dry_pink_noise,DigitalDelay,4.87,88.805,0.7067,4919.7,4913.8,-5.9,3.821,4.124,1.34,3.1
dry_pink_noise,Distortion,0.57,105.495,0.7046,4919.7,4924.5,4.7,3.821,1.979,1.34,1.23
dry_pink_noise,Compressor,11.05,101.308,0.2517,4919.7,4922.3,2.5,3.821,4.182,1.34,1.56
dry_pink_noise,ParametricEQ,17.97,104.451,0.1723,4919.7,4411.4,-508.4,3.821,3.756,1.34,1.32
dry_pink_noise,BitCrusher,35.29,104.8,0.0398,4919.7,4919.9,0.1,3.821,3.82,1.34,1.34
dry_pink_noise,Tremolo,6.24,103.367,0.6538,4919.7,4904.8,-15.0,3.821,5.609,1.34,9.68
dry_pink_noise,Limiter,15.6,114.823,0.0955,4919.7,4914.6,-5.2,3.821,3.946,1.34,10.56
dry_sawtooth,SchroederReverb,3.49,87.077,0.835,2058.4,2233.9,175.5,2.014,3.366,0.0,2.83
dry_sawtooth,DigitalDelay,11.89,72.624,0.2358,2058.4,2045.6,-12.8,2.014,2.175,0.0,6.49
dry_sawtooth,Distortion,9.25,95.689,6.2416,2058.4,3772.5,1714.1,2.014,1.222,0.0,0.0
dry_sawtooth,Compressor,9.79,72.584,1.0002,2058.4,2387.6,329.2,2.014,4.189,0.0,2.43
dry_sawtooth,ParametricEQ,20.17,72.084,0.1697,2058.4,2060.9,2.5,2.014,2.181,0.0,0.01
dry_sawtooth,BitCrusher,11.94,70.513,6.665,2058.4,5017.2,2958.8,2.014,2.024,0.0,0.04
dry_sawtooth,Tremolo,6.2,72.624,0.6507,2058.4,2058.4,0.0,2.014,3.032,0.0,8.64
dry_sawtooth,Limiter,15.06,72.624,0.0956,2058.4,2041.4,-17.0,2.014,2.087,0.0,9.62
dry_sine_440,SchroederReverb,3.84,0.028,0.9708,444.3,1698.1,1253.8,1.414,1.81,0.0,0.98
dry_sine_440,DigitalDelay,11.92,0.132,1.7097,444.3,618.9,174.6,1.414,1.508,0.0,6.47
dry_sine_440,Distortion,9.78,29.946,3.1509,444.3,961.5,517.2,1.414,1.093,0.0,0.0
dry_sine_440,Compressor,5.78,0.146,0.7855,444.3,962.6,518.3,1.414,3.582,0.0,2.87
dry_sine_440,ParametricEQ,24.01,0.001,0.1734,444.3,852.9,408.5,1.414,1.48,0.0,0.0
dry_sine_440,BitCrusher,18.62,0.041,4.9812,444.3,2461.6,2017.2,1.414,1.409,0.0,0.0
dry_sine_440,Tremolo,6.2,0.0,0.6502,444.3,444.4,0.0,1.414,2.132,0.0,8.63
dry_sine_440,Limiter,18.79,0.0,0.1222,444.3,444.9,0.6,1.414,1.414,0.0,0.0
